question_id,dataset_index,dataset_sample_id,sample_id,seed,status,correct,stop_reason,token_count,answer_length,pred_answer,gold_answer,extractor_confident,runtime_sec,hidden_path,logits_path,error
q_0001,0,gsm8k_000000,sample_00,1000,ok,False,eos_token,205,111,26,18,True,17.711,artifacts/qwen35_2b_within_question/q_0001/sample_00/hidden.npy,artifacts/qwen35_2b_within_question/q_0001/sample_00/logits_summary.npz,
q_0001,0,gsm8k_000000,sample_01,1001,ok,True,eos_token,254,155,18,18,True,21.258,artifacts/qwen35_2b_within_question/q_0001/sample_01/hidden.npy,artifacts/qwen35_2b_within_question/q_0001/sample_01/logits_summary.npz,
q_0001,0,gsm8k_000000,sample_02,1002,ok,False,eos_token,212,117,26,18,True,18.105,artifacts/qwen35_2b_within_question/q_0001/sample_02/hidden.npy,artifacts/qwen35_2b_within_question/q_0001/sample_02/logits_summary.npz,
q_0001,0,gsm8k_000000,sample_03,1003,ok,True,eos_token,256,142,18,18,True,21.553,artifacts/qwen35_2b_within_question/q_0001/sample_03/hidden.npy,artifacts/qwen35_2b_within_question/q_0001/sample_03/logits_summary.npz,
q_0001,0,gsm8k_000000,sample_04,1004,ok,True,eos_token,332,179,18,18,True,27.899,artifacts/qwen35_2b_within_question/q_0001/sample_04/hidden.npy,artifacts/qwen35_2b_within_question/q_0001/sample_04/logits_summary.npz,
q_0002,1,gsm8k_000001,sample_00,1005,ok,True,eos_token,206,123,3,3,True,17.222,artifacts/qwen35_2b_within_question/q_0002/sample_00/hidden.npy,artifacts/qwen35_2b_within_question/q_0002/sample_00/logits_summary.npz,
q_0002,1,gsm8k_000001,sample_01,1006,ok,True,eos_token,215,123,3,3,True,18.127,artifacts/qwen35_2b_within_question/q_0002/sample_01/hidden.npy,artifacts/qwen35_2b_within_question/q_0002/sample_01/logits_summary.npz,
q_0002,1,gsm8k_000001,sample_02,1007,ok,True,eos_token,157,99,3,3,True,13.172,artifacts/qwen35_2b_within_question/q_0002/sample_02/hidden.npy,artifacts/qwen35_2b_within_question/q_0002/sample_02/logits_summary.npz,
q_0002,1,gsm8k_000001,sample_03,1008,ok,True,eos_token,178,110,3,3,True,15.061,artifacts/qwen35_2b_within_question/q_0002/sample_03/hidden.npy,artifacts/qwen35_2b_within_question/q_0002/sample_03/logits_summary.npz,
q_0002,1,gsm8k_000001,sample_04,1009,ok,True,eos_token,188,125,3,3,True,15.759,artifacts/qwen35_2b_within_question/q_0002/sample_04/hidden.npy,artifacts/qwen35_2b_within_question/q_0002/sample_04/logits_summary.npz,
