question_id,sample_a,sample_b,pair_type,pair_subtype,correct_a,correct_b,pred_answer_a,pred_answer_b,same_pred_answer,final_state_euclidean,final_state_cosine,late_alignment_cosine_16,late_alignment_cosine_32,answer_state_euclidean,answer_state_cosine
q_0001,sample_00,sample_01,correct_wrong,correct_wrong,False,True,26,18,False,32.70255661010742,0.020001769065856934,0.7237498164176941,0.5039969086647034,53.15035629272461,0.08340424299240112
q_0001,sample_00,sample_02,wrong_wrong,wrong_wrong_same_answer,False,False,26,26,True,25.55262565612793,0.012225866317749023,0.9897922873497009,0.9679881930351257,13.73934268951416,0.0054405927658081055
q_0001,sample_00,sample_03,correct_wrong,correct_wrong,False,True,26,18,False,27.773662567138672,0.014449119567871094,0.958767294883728,0.9190781116485596,46.667198181152344,0.06254243850708008
q_0001,sample_00,sample_04,correct_wrong,correct_wrong,False,True,26,18,False,29.204303741455078,0.015974760055541992,0.9546129703521729,0.6792988777160645,49.593162536621094,0.07084369659423828
q_0001,sample_01,sample_02,correct_wrong,correct_wrong,True,False,18,26,False,25.76101303100586,0.012410342693328857,0.732909083366394,0.5168487429618835,51.72929000854492,0.07858550548553467
q_0001,sample_01,sample_03,correct_correct,correct_correct,True,True,18,18,True,23.353103637695312,0.010201752185821533,0.7636505961418152,0.5324217081069946,25.80284881591797,0.01909792423248291
q_0001,sample_01,sample_04,correct_correct,correct_correct,True,True,18,18,True,23.533695220947266,0.010359406471252441,0.7614307403564453,0.4972108006477356,28.071733474731445,0.022823810577392578
q_0001,sample_02,sample_03,correct_wrong,correct_wrong,False,True,26,18,False,12.370636940002441,0.0028655529022216797,0.9689433574676514,0.9396966695785522,43.68950271606445,0.054619789123535156
q_0001,sample_02,sample_04,correct_wrong,correct_wrong,False,True,26,18,False,16.48695945739746,0.005090296268463135,0.9663829207420349,0.692624568939209,46.28401565551758,0.06147336959838867
q_0001,sample_03,sample_04,correct_correct,correct_correct,True,True,18,18,True,12.882554054260254,0.0031086206436157227,0.9932539463043213,0.7075084447860718,16.52921485900879,0.00780099630355835
q_0002,sample_00,sample_01,correct_correct,correct_correct,True,True,3,3,True,9.323204040527344,0.0016228556632995605,0.7317556738853455,0.4854118824005127,65.76384735107422,0.0928768515586853
q_0002,sample_00,sample_02,correct_correct,correct_correct,True,True,3,3,True,22.457687377929688,0.009449958801269531,0.6765113472938538,0.4456060826778412,30.053794860839844,0.0193558931350708
q_0002,sample_00,sample_03,correct_correct,correct_correct,True,True,3,3,True,16.776369094848633,0.005260825157165527,0.9784328937530518,0.8745133876800537,15.769745826721191,0.005411624908447266
q_0002,sample_00,sample_04,correct_correct,correct_correct,True,True,3,3,True,22.059675216674805,0.009123086929321289,0.6781200766563416,0.423642098903656,29.239330291748047,0.018451988697052002
q_0002,sample_00,sample_05,correct_correct,correct_correct,True,True,3,3,True,22.262563705444336,0.009261131286621094,0.6748502254486084,0.43049347400665283,31.463003158569336,0.021283328533172607
q_0002,sample_00,sample_06,correct_correct,correct_correct,True,True,3,3,True,15.646906852722168,0.004575490951538086,0.6778726577758789,0.4755006432533264,26.021045684814453,0.01466447114944458
