question_id,dataset_index,dataset_sample_id,sample_id,seed,status,source_stop_reason,source_correct,source_token_count,correct,stop_reason,token_count,answer_length,pred_answer,gold_answer,extractor_confident,runtime_sec,hidden_path,logits_path,error
q_0003,2,gsm8k_000002,sample_00,1010,ok,max_new_tokens,False,384,False,max_new_tokens,640,267,80000,70000,True,54.967,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_00/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_00/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_02,1012,ok,max_new_tokens,False,384,True,eos_token,371,149,70000,70000,True,31.701,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_02/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_02/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_04,1014,ok,max_new_tokens,False,384,False,eos_token,446,190,195000,70000,True,37.608,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_04/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_04/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_06,5016,ok,max_new_tokens,False,384,True,eos_token,385,170,70000,70000,True,32.601,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_06/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_06/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_07,5017,ok,max_new_tokens,False,384,False,max_new_tokens,640,327,150,70000,True,54.594,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_07/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_07/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_08,5018,ok,max_new_tokens,True,384,True,eos_token,397,169,70000,70000,True,33.676,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_08/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_08/logits_summary.npz,
q_0003,2,gsm8k_000002,sample_09,5019,ok,max_new_tokens,False,384,False,eos_token,305,128,65000,70000,True,25.923,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_09/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0003/sample_09/logits_summary.npz,
q_0005,4,gsm8k_000004,sample_01,1021,ok,max_new_tokens,True,384,True,eos_token,435,256,20,20,True,36.965,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_01/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_01/logits_summary.npz,
q_0005,4,gsm8k_000004,sample_03,1023,ok,max_new_tokens,False,384,False,max_new_tokens,640,447,3,20,True,54.347,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_03/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_03/logits_summary.npz,
q_0005,4,gsm8k_000004,sample_04,1024,ok,max_new_tokens,False,384,False,max_new_tokens,640,414,3,20,True,54.367,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_04/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_04/logits_summary.npz,
q_0005,4,gsm8k_000004,sample_05,5025,ok,max_new_tokens,False,384,False,max_new_tokens,640,375,2,20,True,53.978,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_05/hidden.npy,artifacts/qwen35_2b_cap_sensitivity_640/q_0005/sample_05/logits_summary.npz,
